DGRP strain,Foraging index,starvation resistance index
21,0.92,0.10
26,0.50,0.00
28,0.30,1.00
31,0.25,0.80
32,0.63,0.70
38,0.71,0.90
40,0.83,0.80
41,0.65,0.30
42,0.71,0.00
45,0.90,0.40
48,0.42,0.70
57,0.88,0.00
59,1.00,0.10
69,0.81,0.50
73,0.42,0.10
75,0.08,1.00
83,0.92,0.90
85,0.21,0.70
88,0.67,0.90
91,0.82,0.00
93,0.57,0.40
100,0.50,0.30
101,0.50,0.80
105,0.25,0.90
109,0.32,0.22
129,0.62,0.50
136,0.33,0.50
138,0.58,0.80
142,0.04,0.90
149,0.54,0.50
153,0.46,1.00
158,1.00,1.00
161,0.79,0.60
176,0.65,0.70
177,1.00,0.80
181,0.77,0.60
189,0.25,0.40
195,1.00,1.00
208,0.83,0.40
217,0.79,0.20
223,0.30,1.00
227,0.83,0.80
228,0.95,0.70
229,0.50,0.30
233,0.33,0.75
235,1.00,1.00
237,0.75,0.20
239,0.05,0.20
256,0.38,0.80
280,0.70,1.00
287,0.87,0.90
301,0.54,1.00
303,0.21,0.10
304,0.30,1.00
306,0.71,0.15
307,0.67,1.00
309,0.96,1.00
310,1.00,1.00
313,0.17,0.10
315,0.33,0.11
317,0.22,0.00
318,0.67,0.50
319,0.71,0.90
320,0.79,1.00
321,0.04,0.39
324,0.29,0.50
325,0.58,0.20
332,0.13,0.11
335,0.75,0.00
336,0.54,0.00
338,1.00,0.00
340,0.83,1.00
348,0.38,0.30
350,0.33,0.00
352,0.17,0.20
354,0.17,0.40
356,0.96,0.00
357,0.70,0.25
358,0.21,0.10
359,0.58,0.70
360,0.83,0.88
361,0.75,0.90
362,0.90,1.00
365,0.42,0.90
367,0.88,1.00
370,0.65,0.20
371,0.48,0.10
373,0.90,0.90
374,0.25,0.10
375,0.92,1.00
377,0.38,0.40
379,0.63,0.10
380,0.92,1.00
381,0.33,0.00
382,0.74,1.00
383,0.96,0.50
385,0.42,1.00
386,0.00,0.11
390,0.04,0.10
391,0.48,0.00
392,0.83,0.90
395,0.62,0.20
397,0.22,0.00
399,0.83,1.00
405,0.63,1.00
406,0.40,0.10
409,0.58,0.10
426,0.86,0.70
427,0.29,0.00
437,0.21,1.00
439,0.40,0.70
440,0.61,0.90
441,1.00,0.20
443,0.91,0.80
461,0.75,0.20
486,0.55,0.00
491,0.10,0.00
492,0.38,0.95
502,0.75,0.00
505,0.08,0.10
508,0.87,0.40
509,1.00,1.00
513,0.17,0.10
517,0.58,0.00
528,0.67,0.30
530,0.50,0.50
531,0.83,1.00
535,1.00,0.80
551,0.25,0.85
555,0.48,0.20
559,0.25,0.70
563,0.54,0.10
566,0.04,0.00
584,0.45,0.40
589,0.38,0.00
595,0.19,0.90
627,0.05,0.05
630,0.15,0.80
634,0.50,0.40
639,0.60,0.70
646,0.80,0.19
703,0.92,0.70
705,0.38,1.00
707,0.55,0.13
712,0.54,0.30
714,0.91,0.50
716,1.00,0.89
721,0.60,1.00
727,0.63,0.00
730,1.00,1.00
732,0.63,0.50
737,0.77,0.60
738,0.65,0.40
748,0.25,0.00
757,0.63,0.80
761,0.42,0.00
765,0.65,0.20
774,0.48,0.40
776,0.88,0.70
783,0.69,0.10
786,0.83,0.50
787,1.00,0.80
790,0.22,0.00
796,1.00,0.10
799,0.21,0.30
801,0.13,0.00
802,0.75,0.20
804,0.46,0.30
805,0.92,0.90
808,0.74,0.80
810,0.24,0.83
812,0.67,0.50
818,0.55,0.20
819,0.76,0.15
820,0.38,0.30
821,0.88,1.00
822,0.46,0.40
832,1.00,0.90
837,0.83,0.80
843,0.75,0.70
849,0.58,0.90
850,0.63,0.10
852,0.77,0.80
853,0.79,1.00
855,0.39,0.40
857,0.71,0.90
859,0.96,0.70
861,0.21,0.00
879,1.00,0.80
882,0.54,0.10
884,0.79,0.90
887,0.85,1.00
890,0.93,0.40
892,0.34,0.80
894,0.91,0.30
897,0.46,0.80
900,0.67,0.20
907,0.38,0.70
908,0.42,1.00
911,0.61,0.20
913,0.38,1.00
